cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.949	0.911	0.958	0.930	0.880	0.920	4615	12007	786	111	4726	17519	qtrees	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
40	0.972	0.114	0.530	0.114	0.239	0.249	31	17006	1	481	512	17519	qtrees	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
41	0.976	0.983	0.977	0.967	0.944	0.968	11976	5128	110	305	12281	17519	qtrees	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified.csv
0	0.914	0.702	0.790	0.731	0.666	0.722	3961	31653	742	2617	6578	38973	qtrees	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
40	0.946	0.877	0.920	0.900	0.842	0.885	7503	29357	1041	1072	8575	38973	qtrees	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
41	0.951	0.962	0.937	0.888	0.900	0.922	23820	13247	1906	0	23820	38973	qtrees	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified.csv
0	0.993	0.994	0.990	0.982	0.984	0.988	46149	25918	466	73	46222	72606	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
40	0.998	0.153	0.542	0.155	0.265	0.279	15	72425	3	163	178	72606	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
41	0.995	0.993	0.993	0.993	0.989	0.992	25902	46329	71	304	26206	72606	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt1r_0_classified.csv
0	0.978	0.957	0.980	0.969	0.943	0.962	20325	61500	1473	348	20673	83646	qtrees	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
40	0.987	0.850	0.881	0.864	0.850	0.861	3152	79385	128	981	4133	83646	qtrees	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
41	0.989	0.992	0.988	0.981	0.973	0.984	58231	24469	337	609	58840	83646	qtrees	./predictions/ATL24_20220819011237_08881601_005_01_gt1r_0_classified.csv
0	0.936	0.936	0.936	0.899	0.873	0.911	43469	42999	4179	1764	45233	92411	qtrees	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
40	0.991	0.171	0.593	0.319	0.168	0.313	83	91526	452	350	433	92411	qtrees	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
41	0.943	0.942	0.944	0.928	0.888	0.925	42867	44305	1361	3878	46745	92411	qtrees	./predictions/ATL24_20221209191918_12231701_006_01_gt3r_0_classified.csv
0	0.980	0.982	0.979	0.967	0.959	0.972	23500	17755	447	408	23908	42110	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
40	0.992	0.515	0.684	0.537	0.558	0.573	184	41579	31	316	500	42110	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
41	0.987	0.985	0.988	0.980	0.973	0.981	17550	24010	398	152	17702	42110	qtrees	./predictions/ATL24_20191015083439_02820501_006_02_gt2r_0_classified.csv
0	0.900	0.829	0.868	0.834	0.761	0.823	29275	79424	4075	7991	37266	120765	qtrees	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
40	0.908	0.659	0.753	0.672	0.642	0.682	10689	98999	1098	9979	20668	120765	qtrees	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
41	0.886	0.901	0.882	0.810	0.789	0.846	62375	44681	13253	456	62831	120765	qtrees	./predictions/ATL24_20201031105458_05690907_005_01_gt1l_0_classified.csv
0	0.939	0.763	0.863	0.831	0.729	0.796	12283	105521	3718	3894	16177	125416	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
40	0.970	0.838	0.885	0.867	0.825	0.854	9700	111979	977	2760	12460	125416	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
41	0.957	0.972	0.926	0.877	0.875	0.912	95036	24935	3702	1743	96779	125416	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_0_classified.csv
0	0.759	0.817	0.725	0.642	0.480	0.666	15183	6280	4670	2132	17315	28265	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
40	0.810	0.183	0.549	0.185	0.254	0.293	602	22301	107	5255	5857	28265	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
41	0.905	0.789	0.939	0.893	0.757	0.845	5051	20520	2652	42	5093	28265	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified.csv
0	0.917	0.864	0.889	0.865	0.809	0.857	48028	117520	3563	11500	59528	180611	qtrees	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
40	0.986	0.520	0.682	0.534	0.569	0.576	1352	176762	147	2350	3702	180611	qtrees	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
41	0.930	0.949	0.905	0.843	0.848	0.886	116168	51877	11353	1213	117381	180611	qtrees	./predictions/ATL24_20211225064753_00461402_005_01_gt2l_0_classified.csv
0	0.953	0.886	0.935	0.917	0.857	0.899	17410	73799	2633	1828	19238	95670	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
40	0.996	-nan	0.500	0.000	-0.000	-nan	0	95305	1	364	364	95670	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
41	0.957	0.973	0.938	0.900	0.870	0.920	73797	17773	1829	2271	76068	95670	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt1r_0_classified.csv
0	0.814	0.850	0.795	0.713	0.620	0.744	26324	14106	7002	2265	28589	49697	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
40	0.824	0.161	0.542	0.162	0.234	0.275	836	40124	178	8559	9395	49697	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
41	0.917	0.848	0.939	0.897	0.806	0.873	11478	34105	3879	235	11713	49697	qtrees	./predictions/ATL24_20191027211532_04730506_005_01_gt3r_0_classified.csv
0	0.510	0.234	0.677	0.600	0.199	0.427	16098	94059	103440	2241	18339	215838	qtrees	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
40	0.997	0.131	0.536	0.133	0.241	0.260	53	215084	12	689	742	215838	qtrees	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
41	0.513	0.642	0.680	0.558	0.206	0.521	93992	16838	2243	102765	196757	215838	qtrees	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified.csv
0	0.952	0.916	0.940	0.923	0.883	0.916	12820	34073	1075	1269	14089	49237	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
40	0.983	0.333	0.600	0.335	0.437	0.426	205	48210	7	815	1020	49237	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
41	0.968	0.977	0.953	0.918	0.925	0.943	33848	13827	1282	280	34128	49237	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt2r_0_classified.csv
0	0.880	0.629	0.758	0.680	0.563	0.657	11130	85508	4680	8465	19595	109783	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
40	0.962	0.822	0.875	0.853	0.804	0.838	9639	95963	1161	3020	12659	109783	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
41	0.902	0.933	0.856	0.781	0.758	0.832	74972	24053	8201	2557	77529	109783	qtrees	./predictions/ATL24_20200826091639_09470807_005_01_gt2l_1_classified.csv
0	0.969	0.936	0.957	0.946	0.916	0.939	11766	38989	753	857	12623	52365	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
40	0.986	0.453	0.675	0.519	0.465	0.528	298	51346	175	546	844	52365	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
41	0.983	0.989	0.972	0.949	0.955	0.966	38690	12784	683	208	38898	52365	qtrees	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified.csv
0	0.983	0.970	0.983	0.975	0.959	0.972	63805	168105	2787	1135	64940	235832	qtrees	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
40	0.987	0.801	0.843	0.813	0.806	0.816	6226	226507	261	2838	9064	235832	qtrees	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
41	0.984	0.988	0.979	0.964	0.962	0.974	160375	71626	2378	1453	161828	235832	qtrees	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified.csv
0	0.989	0.980	0.990	0.985	0.973	0.982	31045	90297	1030	267	31312	122639	qtrees	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
40	0.992	0.457	0.653	0.469	0.520	0.525	416	121233	51	939	1355	122639	qtrees	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
41	0.997	0.998	0.996	0.992	0.993	0.995	89869	32439	228	103	89972	122639	qtrees	./predictions/ATL24_20220611101653_12271501_006_01_gt3r_0_classified.csv
